category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.CV,1250,30,False,30,5,5,17,30.48,cs.CV_mcs30_nn30_nc5_ms5
cs.CV,1250,30,False,30,5,10,17,32.08,cs.CV_mcs30_nn30_nc5_ms10
cs.CV,1250,30,False,30,10,5,16,32.64,cs.CV_mcs30_nn30_nc10_ms5
cs.CV,1250,31,True,10,10,5,15,41.68,cs.CV_mcs31_nn10_nc10_ms5
cs.CV,1250,31,True,15,5,5,15,35.04,cs.CV_mcs31_nn15_nc5_ms5
cs.CV,1250,31,True,15,5,10,15,34.56,cs.CV_mcs31_nn15_nc5_ms10
cs.CV,1250,31,True,15,10,5,15,30.32,cs.CV_mcs31_nn15_nc10_ms5
cs.CV,1250,31,True,30,5,5,16,32.88,cs.CV_mcs31_nn30_nc5_ms5
cs.CV,1250,31,True,30,5,10,16,34.48,cs.CV_mcs31_nn30_nc5_ms10
cs.CV,1250,31,True,30,10,5,15,35.04,cs.CV_mcs31_nn30_nc10_ms5
