category,n_docs,min_cluster_size,is_scaled,umap_n_neighbors,umap_n_components,min_samples,n_topics,outlier_pct,config_name
cs.LG,10746,268,True,30,5,10,11,22.35,cs.LG_mcs268_nn30_nc5_ms10
cs.LG,10746,268,True,30,10,5,11,29.48,cs.LG_mcs268_nn30_nc10_ms5
cs.LG,10746,268,True,30,10,10,11,17.55,cs.LG_mcs268_nn30_nc10_ms10
cs.CV,14163,30,False,10,5,5,141,21.61,cs.CV_mcs30_nn10_nc5_ms5
cs.CV,14163,30,False,10,5,10,131,23.03,cs.CV_mcs30_nn10_nc5_ms10
cs.CV,14163,30,False,10,10,5,138,23.39,cs.CV_mcs30_nn10_nc10_ms5
cs.CV,14163,30,False,10,10,10,132,25.16,cs.CV_mcs30_nn10_nc10_ms10
cs.CV,14163,30,False,15,5,5,131,24.11,cs.CV_mcs30_nn15_nc5_ms5
cs.CV,14163,30,False,15,5,10,125,26.27,cs.CV_mcs30_nn15_nc5_ms10
cs.CV,14163,30,False,15,10,5,128,24.44,cs.CV_mcs30_nn15_nc10_ms5
cs.CV,14163,30,False,15,10,10,125,27.75,cs.CV_mcs30_nn15_nc10_ms10
cs.CV,14163,30,False,30,5,5,121,27.08,cs.CV_mcs30_nn30_nc5_ms5
cs.CV,14163,30,False,30,5,10,108,30.52,cs.CV_mcs30_nn30_nc5_ms10
cs.CV,14163,30,False,30,10,5,120,27.75,cs.CV_mcs30_nn30_nc10_ms5
cs.CV,14163,30,False,30,10,10,114,31.97,cs.CV_mcs30_nn30_nc10_ms10
cs.CV,14163,50,False,10,5,5,82,22.08,cs.CV_mcs50_nn10_nc5_ms5
cs.CV,14163,50,False,10,5,10,76,20.51,cs.CV_mcs50_nn10_nc5_ms10
cs.CV,14163,50,False,10,10,5,81,25.62,cs.CV_mcs50_nn10_nc10_ms5
cs.CV,14163,50,False,10,10,10,81,26.44,cs.CV_mcs50_nn10_nc10_ms10
cs.CV,14163,50,False,15,5,5,76,24.06,cs.CV_mcs50_nn15_nc5_ms5
cs.CV,14163,50,False,15,5,10,72,27.65,cs.CV_mcs50_nn15_nc5_ms10
cs.CV,14163,50,False,15,10,5,75,27.37,cs.CV_mcs50_nn15_nc10_ms5
cs.CV,14163,50,False,15,10,10,71,26.69,cs.CV_mcs50_nn15_nc10_ms10
cs.CV,14163,50,False,30,5,5,76,27.49,cs.CV_mcs50_nn30_nc5_ms5
cs.CV,14163,50,False,30,5,10,72,30.95,cs.CV_mcs50_nn30_nc5_ms10
cs.CV,14163,50,False,30,10,5,71,28.4,cs.CV_mcs50_nn30_nc10_ms5
cs.CV,14163,50,False,30,10,10,65,28.82,cs.CV_mcs50_nn30_nc10_ms10
cs.CV,14163,80,False,10,5,5,55,26.65,cs.CV_mcs80_nn10_nc5_ms5
cs.CV,14163,80,False,10,5,10,52,24.13,cs.CV_mcs80_nn10_nc5_ms10
cs.CV,14163,80,False,10,10,5,51,28.07,cs.CV_mcs80_nn10_nc10_ms5
cs.CV,14163,80,False,10,10,10,47,26.77,cs.CV_mcs80_nn10_nc10_ms10
cs.CV,14163,80,False,15,5,5,49,29.37,cs.CV_mcs80_nn15_nc5_ms5
cs.CV,14163,80,False,15,5,10,43,32.54,cs.CV_mcs80_nn15_nc5_ms10
cs.CV,14163,80,False,15,10,5,44,31.48,cs.CV_mcs80_nn15_nc10_ms5
cs.CV,14163,80,False,15,10,10,41,24.92,cs.CV_mcs80_nn15_nc10_ms10
cs.CV,14163,80,False,30,5,5,48,32.03,cs.CV_mcs80_nn30_nc5_ms5
cs.CV,14163,80,False,30,5,10,44,34.01,cs.CV_mcs80_nn30_nc5_ms10
cs.CV,14163,80,False,30,10,5,40,31.64,cs.CV_mcs80_nn30_nc10_ms5
cs.CV,14163,80,False,30,10,10,40,32.37,cs.CV_mcs80_nn30_nc10_ms10
cs.CV,14163,120,False,10,5,5,28,24.59,cs.CV_mcs120_nn10_nc5_ms5
cs.CV,14163,120,False,10,5,10,29,21.34,cs.CV_mcs120_nn10_nc5_ms10
cs.CV,14163,120,False,10,10,5,32,31.08,cs.CV_mcs120_nn10_nc10_ms5
cs.CV,14163,120,False,10,10,10,26,28.02,cs.CV_mcs120_nn10_nc10_ms10
cs.CV,14163,120,False,15,5,5,27,28.63,cs.CV_mcs120_nn15_nc5_ms5
cs.CV,14163,120,False,15,5,10,27,28.85,cs.CV_mcs120_nn15_nc5_ms10
cs.CV,14163,120,False,15,10,5,27,28.89,cs.CV_mcs120_nn15_nc10_ms5
cs.CV,14163,120,False,15,10,10,27,24.16,cs.CV_mcs120_nn15_nc10_ms10
cs.CV,14163,120,False,30,5,5,26,33.09,cs.CV_mcs120_nn30_nc5_ms5
cs.CV,14163,120,False,30,5,10,27,34.44,cs.CV_mcs120_nn30_nc5_ms10
cs.CV,14163,120,False,30,10,5,25,31.0,cs.CV_mcs120_nn30_nc10_ms5
cs.CV,14163,120,False,30,10,10,22,29.95,cs.CV_mcs120_nn30_nc10_ms10
cs.CV,14163,200,False,10,5,5,21,29.27,cs.CV_mcs200_nn10_nc5_ms5
cs.CV,14163,200,False,10,5,10,20,23.84,cs.CV_mcs200_nn10_nc5_ms10
cs.CV,14163,200,False,10,10,5,20,24.83,cs.CV_mcs200_nn10_nc10_ms5
cs.CV,14163,200,False,10,10,10,20,27.25,cs.CV_mcs200_nn10_nc10_ms10
